id,prompt,aspect,seed
48,"a salad bowl on a wooden table, natural light",portrait_4_3,411741362
49,"a cozy interior photo, cafe",landscape_4_3,956762304
50,a spa in prague,landscape_4_3,1914808061
51,"a cozy interior photo, hotel room",portrait_4_3,1043128687
52,"a quiet street scene in a mexican town, cafes and awnings",portrait_4_3,1955547220
53,candid photo of a toddler at a birthday party,portrait_4_3,606744347
54,"group photo of coworkers at a wedding, natural poses",landscape_4_3,1197889331
55,a hotel pool in miami,portrait_4_3,910775234
56,candid photo of kids playing in a yard,landscape_4_3,99356195
57,a woman taking a mirror selfie at a concert,landscape_4_3,442118386
58,"a brunch spread on a marble counter, appetizing",landscape_4_3,136042851
59,candid photo of a toddler with a puppy,landscape_4_3,1146834298
60,"portrait of a man with a beard in a rooftop, soft bokeh background",landscape_4_3,685412365
61,"portrait of a middle-aged man in a park, casual clothing",landscape_4_3,1630696448
62,a couple taking a mirror selfie at a theme park,landscape_4_3,88599125
63,"a brunch spread on a marble counter, overhead shot",portrait_4_3,484474142
64,a scenic forest trail at midday,portrait_4_3,388348243
65,"a bowl of ramen on a restaurant table, restaurant food photography",portrait_4_3,1870588483
66,"a rainy street scene in a european old town, daytime",portrait_4_3,1760059008
67,"portrait of a man with a beard in a market, warm tones",landscape_4_3,2029333685
68,a misty forest trail at midday,portrait_4_3,1902220636
69,"group photo of a family at a restaurant table, smartphone photo style",landscape_4_3,613174240
70,"a rustic interior photo, home office",portrait_4_3,559771681
71,"a cozy interior photo, living room",landscape_4_3,799451528
72,"people at a graduation ceremony, event photography",landscape_4_3,343390041
73,a spa in amsterdam,landscape_4_3,425965079
74,"portrait of a smiling woman in a park, golden hour",portrait_4_3,1212368350
75,a hotel pool in bali,landscape_4_3,608426339
76,"a modern interior photo, bedroom",landscape_4_3,558857442
77,candid photo of kids with a puppy,landscape_4_3,1148893774
78,a scenic waterfall at sunrise,landscape_4_3,1918509442
79,"portrait of a middle-aged man in a city sidewalk, looking at camera",landscape_4_3,1587435867
80,a hotel pool in amsterdam,portrait_4_3,907534354
81,"group photo of friends in front of a landmark, candid moment",landscape_4_3,469977185
82,"a gourmet pizza on a cafe table, appetizing",portrait_4_3,1304362671
83,"guests at a street parade, event photography",landscape_4_3,1188070127
84,"group photo of classmates on vacation, natural poses",landscape_4_3,1835123001
85,"a rustic interior photo, apartment",portrait_4_3,1498258509
86,"a busy street scene in a mexican town, evening lights",landscape_4_3,174526807
87,"attendees at a food festival, event photography",landscape_4_3,978451517
88,a couple taking a selfie at the gym,landscape_4_3,415559649
89,"a busy street scene in a mexican town, candid pedestrians",portrait_4_3,811240757
90,"group photo of a sports team at a birthday party, natural poses",portrait_4_3,2099779497
91,"a steak dinner on a wooden table, appetizing",portrait_4_3,102705573
92,"group photo of a sports team in front of a landmark, daylight",portrait_4_3,1484934728
93,"portrait of a young couple in an urban street, looking at camera",landscape_4_3,573964544
94,a misty waterfall at golden hour,portrait_4_3,1082430025
95,"portrait of a man with a beard in a sunlit cafe, looking at camera",landscape_4_3,1841902561
96,a cozy reading nook with a bookshelf and armchair,portrait_4_3,1421274653
97,a misty waterfall at midday,landscape_4_3,1029801015
98,a brewery taproom in bali,landscape_4_3,2032790116
99,a man taking a selfie at a concert,landscape_4_3,1320932129
100,a man taking a selfie at a city street at night,landscape_4_3,775117565
101,"a rainy street scene in paris, daytime",landscape_4_3,1935971045
102,"group photo of friends at a restaurant table, everyone smiling",portrait_4_3,150564561
103,"a busy street scene in lisbon, candid pedestrians",landscape_4_3,389821246
104,candid photo of a toddler running on a beach,landscape_4_3,816295683
105,"attendees at a conference, event photography",landscape_4_3,310316703
106,"a sunny street scene in barcelona, shop fronts",portrait_4_3,698047679
107,"guests at a sports game, event photography",landscape_4_3,1984597054
108,a scenic coastal cliff at golden hour,portrait_4_3,1918569920
109,"a bright interior photo, living room",landscape_4_3,1152658187
110,a misty lake shore at sunrise,landscape_4_3,658292409
111,candid photo of a toddler eating ice cream,portrait_4_3,61680842
112,a couple taking a group selfie at a festival,portrait_4_3,1215741897
113,"a busy street scene in a european old town, candid pedestrians",portrait_4_3,1880323962
114,"a rustic interior photo, cafe",landscape_4_3,1102250928
115,candid photo of a baby running on a beach,portrait_4_3,39512702
116,"portrait of a man with a beard in an office, casual clothing",landscape_4_3,510497868
117,"a gourmet pizza on a restaurant table, overhead shot",landscape_4_3,1240337257
118,a woman taking a mirror selfie at a theme park,landscape_4_3,1106703686
119,a couple taking a mirror selfie at a city street at night,landscape_4_3,385240169
120,"an infographic about coffee brewing methods, clean modern design",portrait_4_3,1151368000
121,"portrait of a man in a suit in a market, casual clothing",landscape_4_3,2101524829
122,a resort lobby in santorini,portrait_4_3,832022423
123,a resort lobby in austin,landscape_4_3,1373798491
124,"group photo of friends at a birthday party, smartphone photo style",portrait_4_3,1634810905
125,a man taking a group selfie at a concert,portrait_4_3,2096481209
126,a woman taking a mirror selfie at a city street at night,landscape_4_3,1147028329
127,"a busy street scene in tokyo, evening lights",landscape_4_3,627538613
128,"portrait of a woman in her 30s in an office, window light",landscape_4_3,37290743
129,"a bright interior photo, home office",landscape_4_3,365515330
130,"group photo of a family on a hiking trip, everyone smiling",landscape_4_3,704163786
131,a couple taking a selfie at a festival,portrait_4_3,21639572
132,"portrait of a man with a beard in a sunlit cafe, soft bokeh background",portrait_4_3,2040295693
133,"a crowd at a food festival, event photography",landscape_4_3,1645881737
134,a misty forest trail at golden hour,landscape_4_3,762882832
135,"pancakes with syrup on a cafe table, close up",portrait_4_3,1490109876
136,"a gourmet pizza on a restaurant table, natural light",portrait_4_3,434261953
137,"a sunny street scene in tokyo, morning light",portrait_4_3,1403233237
138,"a busy street scene in paris, cafes and awnings",landscape_4_3,1521500699
139,"portrait of a child in a garden, slight smile",landscape_4_3,510669823
140,a scenic coastal cliff at midday,portrait_4_3,981376882
141,"group photo of coworkers in an office, candid moment",landscape_4_3,1267471957
142,candid photo of a baby playing in a yard,landscape_4_3,127923435
143,"a gourmet pizza on a wooden table, close up",landscape_4_3,1519169634
144,candid photo of kids at a birthday party,landscape_4_3,729354298
145,"a rustic interior photo, hotel room",landscape_4_3,972994144
146,"people at a food festival, event photography",landscape_4_3,1396003940
147,a teenager taking a selfie at a theme park,landscape_4_3,1494404016
148,a couple taking a selfie at a beach,landscape_4_3,1176419048
149,a man taking a selfie at a festival,portrait_4_3,530391586
150,"people at a sports game, event photography",portrait_4_3,2110710379
151,a resort lobby in amsterdam,portrait_4_3,2130983744
152,"portrait of a middle-aged man in an office, soft bokeh background",landscape_4_3,1615981117
153,candid photo of children playing in a yard,portrait_4_3,307926034
154,"portrait of a young couple in an office, candid look",portrait_4_3,1674813436
155,"group photo of a family at a birthday party, smartphone photo style",landscape_4_3,415033193
156,"portrait of a man in a suit in an office, outdoor light",landscape_4_3,1263747149
157,"sushi platter on a marble counter, appetizing",landscape_4_3,1141200529
158,"group photo of friends on a hiking trip, everyone smiling",landscape_4_3,681811429
159,"group photo of a family at a restaurant table, natural poses",portrait_4_3,556908620
160,"portrait of a young couple in a home living room, natural light",landscape_4_3,1454925764
161,"group photo of a family on a hiking trip, smartphone photo style",landscape_4_3,1750791937
162,"people at a wedding reception, event photography",portrait_4_3,966027626
163,"portrait of a woman in her 30s in a home living room, slight smile",portrait_4_3,80150674
164,"sushi platter on a marble counter, overhead shot",landscape_4_3,1396704029
165,"a sunny street scene in a european old town, daytime",landscape_4_3,882032504
166,"portrait of a woman in her 30s in a city sidewalk, window light",landscape_4_3,1194949248
167,"a busy street scene in new york, morning light",landscape_4_3,845983521
168,a grocery store aisle with products on shelves,portrait_4_3,1371513124
169,"portrait of a man in a suit in a garden, soft bokeh background",portrait_4_3,697739927
170,"group photo of coworkers at a birthday party, everyone smiling",portrait_4_3,969958413
171,"a rainy street scene in chicago, evening lights",portrait_4_3,1442637941
172,"a rainy street scene in paris, cafes and awnings",landscape_4_3,389500249
173,"portrait of a elderly woman in an urban street, natural light",landscape_4_3,1539018368
174,a man taking a group selfie at a beach,portrait_4_3,741090277
175,"a burger and fries on a cafe table, restaurant food photography",landscape_4_3,427429909
176,a resort lobby in miami,landscape_4_3,562440400
177,"group photo of a family at a birthday party, daylight",landscape_4_3,94770682
178,"a brunch spread on a cafe table, close up",landscape_4_3,384563306
179,a couple taking a selfie at a city street at night,landscape_4_3,1041433127
180,"portrait of a teenage boy in an urban street, natural light",portrait_4_3,594136635
181,"a modern interior photo, living room",landscape_4_3,1761532623
182,"a cozy interior photo, kitchen",portrait_4_3,2036131170
183,"portrait of a young woman in a sunlit cafe, window light",landscape_4_3,281424057
184,"portrait of a young woman in a rooftop, slight smile",landscape_4_3,720910102
185,"group photo of a sports team at a wedding, everyone smiling",landscape_4_3,2080240363
186,a museum hall in santorini,landscape_4_3,1683721393
187,"pancakes with syrup on a marble counter, appetizing",landscape_4_3,992202990
188,"a busy street scene in chicago, cafes and awnings",landscape_4_3,1873684174
189,"a busy street scene in a european old town, evening lights",portrait_4_3,1903339071
190,a scenic desert vista at sunset,landscape_4_3,1403213909
191,a scenic mountain range at sunset,landscape_4_3,973685110
192,a snowy mountain village with warm lit windows,portrait_4_3,1438313089
193,"a rainy street scene in lisbon, shop fronts",portrait_4_3,681398142
194,"group photo of a sports team at a restaurant table, smartphone photo style",portrait_4_3,423452998
195,candid photo of kids running on a beach,portrait_4_3,465989234
196,"group photo of a sports team at a wedding, daylight",portrait_4_3,1465025526
197,"a rainy street scene in a mexican town, evening lights",landscape_4_3,5507401
198,a spa in bali,portrait_4_3,203864211
199,"a gourmet pizza on a cafe table, natural light",landscape_4_3,1474855254
200,"group photo of classmates at a birthday party, candid moment",portrait_4_3,146800235
201,"tacos on a wooden table, appetizing",landscape_4_3,851444218
202,"portrait of a middle-aged man in an office, casual clothing",portrait_4_3,195859819
203,"a bowl of ramen on a cafe table, natural light",landscape_4_3,453826158
204,"portrait of a teenage boy in an office, casual clothing",landscape_4_3,726531990
205,"group photo of coworkers at a restaurant table, smartphone photo style",landscape_4_3,22008114
206,a garage workshop with tools on a pegboard,portrait_4_3,969896241
207,"group photo of friends in an office, natural poses",landscape_4_3,1107063302
208,"a modern interior photo, cafe",landscape_4_3,1676770779
209,candid photo of children at a playground,landscape_4_3,203826978
210,a dramatic desert vista at sunrise,landscape_4_3,724624639
211,"portrait of a man in a suit in a sunlit cafe, casual clothing",landscape_4_3,352782961
212,"attendees at a street parade, event photography",portrait_4_3,1434870261
213,"group photo of classmates on a hiking trip, candid moment",landscape_4_3,805833623
214,"group photo of classmates in an office, daylight",landscape_4_3,1315576701
215,"a quiet street scene in tokyo, cafes and awnings",landscape_4_3,696229187
216,a man taking a group selfie at a theme park,portrait_4_3,2097066801
217,"group photo of coworkers at a wedding, candid moment",portrait_4_3,74085728
218,"sushi platter on a cafe table, natural light",landscape_4_3,1126274610
219,candid photo of a baby at a playground,landscape_4_3,1238987076
220,"portrait of a elderly woman in a studio with soft light, casual clothing",landscape_4_3,1198092466
221,"a gourmet pizza on a restaurant table, close up",landscape_4_3,1773692677
222,"a quiet street scene in new york, candid pedestrians",landscape_4_3,1057676272
223,a dramatic mountain range at sunset,portrait_4_3,1002167509
224,"attendees at a wedding reception, event photography",landscape_4_3,390316873
225,"guests at a food festival, event photography",portrait_4_3,895728796
226,"group photo of a sports team at a restaurant table, everyone smiling",portrait_4_3,1328847127
227,"portrait of a teenage boy in an urban street, warm tones",landscape_4_3,741828946
228,a resort lobby in bali,portrait_4_3,495287081
229,a teenager taking a mirror selfie at a festival,landscape_4_3,1966812936
230,"a crowd at a sports game, event photography",portrait_4_3,973815113
231,"a cozy interior photo, home office",landscape_4_3,1964203661
232,candid photo of a baby with a puppy,landscape_4_3,453349064
233,a brewery taproom in miami,portrait_4_3,180647539
234,"portrait of a child in a sunlit cafe, soft bokeh background",portrait_4_3,604018157
235,"portrait of a teenage boy in a sunlit cafe, golden hour",landscape_4_3,66917399
236,a scenic mountain range at golden hour,portrait_4_3,82092559
237,a scenic mountain range at sunrise,landscape_4_3,593527741
238,"a crowd at a wedding reception, event photography",portrait_4_3,437470849
239,a woman taking a selfie at a city street at night,portrait_4_3,1182636304
240,"group photo of friends in an office, daylight",landscape_4_3,1156752955
241,"group photo of coworkers on a hiking trip, smartphone photo style",landscape_4_3,891662937
242,candid photo of a toddler at a playground,landscape_4_3,196452425
243,"portrait of a smiling woman in a home living room, looking at camera",landscape_4_3,2023345343
244,a scenic waterfall at golden hour,landscape_4_3,1191294157
245,a teenager taking a group selfie at the gym,portrait_4_3,706047076
246,"group photo of classmates at a birthday party, daylight",landscape_4_3,1962144837
247,a scenic forest trail at sunset,landscape_4_3,6330385
248,"a sunny street scene in a mexican town, morning light",portrait_4_3,73395950
249,a dramatic waterfall at golden hour,portrait_4_3,1917954743
250,"a gourmet pizza on a wooden table, overhead shot",landscape_4_3,436647252
251,a boutique shop in miami,landscape_4_3,1709282185
252,"portrait of a elderly woman in a home living room, outdoor light",landscape_4_3,1725672489
253,a teenager taking a group selfie at a beach,landscape_4_3,412486135
254,a man taking a selfie at the gym,portrait_4_3,339110016
255,"a brunch spread on a wooden table, close up",landscape_4_3,1041840984
256,"portrait of a young couple in a sunlit cafe, window light",portrait_4_3,961772385
257,"a rainy street scene in tokyo, candid pedestrians",landscape_4_3,351737049
258,"pancakes with syrup on a wooden table, overhead shot",portrait_4_3,747895435
259,"group photo of a family at a wedding, smartphone photo style",landscape_4_3,565035170
260,candid photo of kids at a playground,portrait_4_3,1711137375
261,a scenic lake shore at sunset,landscape_4_3,1728894985
262,"pancakes with syrup on a wooden table, close up",portrait_4_3,951195696
263,"sushi platter on a cafe table, close up",portrait_4_3,1649117916
264,a woman taking a group selfie at a beach,landscape_4_3,385516320
265,"a poke bowl on a wooden table, close up",landscape_4_3,45343228
266,"a busy street scene in a mexican town, morning light",portrait_4_3,408529600
267,"portrait of a elderly woman in a city sidewalk, warm tones",portrait_4_3,1768959761
268,a teenager taking a group selfie at a city street at night,landscape_4_3,1805000936
269,candid photo of children eating ice cream,portrait_4_3,119114760
270,a couple taking a group selfie at a concert,portrait_4_3,431832914
271,a misty lake shore at golden hour,landscape_4_3,186129225
272,"a bowl of ramen on a restaurant table, close up",portrait_4_3,1595733884
273,a brewery taproom in amsterdam,landscape_4_3,1764671387
274,"a christmas tree in a living room corner, warm lights",portrait_4_3,1877092556
275,"a busy street scene in paris, evening lights",portrait_4_3,437048204
276,"a quiet street scene in new york, cafes and awnings",landscape_4_3,1394181070
277,a dramatic lake shore at sunset,portrait_4_3,1494893393
278,"portrait of a smiling woman in a park, looking at camera",portrait_4_3,430869836
279,a couple taking a selfie at a concert,portrait_4_3,869929689
280,"a burger and fries on a restaurant table, natural light",landscape_4_3,824092348
281,"portrait of a elderly woman in an urban street, warm tones",portrait_4_3,208569595
282,"portrait of a man in a suit in an urban street, soft bokeh background",portrait_4_3,1970905717
283,a man taking a mirror selfie at a concert,portrait_4_3,1448802655
284,"portrait of a middle-aged man in an office, candid look",landscape_4_3,1448219921
285,a tropical beach with turquoise water and palm trees,landscape_4_3,1378926903
286,"a quiet street scene in a european old town, cafes and awnings",landscape_4_3,1814338782
287,"a steak dinner on a marble counter, natural light",landscape_4_3,1826768147
288,"group photo of classmates on vacation, daylight",landscape_4_3,1337159706
289,"a bright interior photo, kitchen",landscape_4_3,267742798
290,a museum hall in bali,portrait_4_3,1082300607
291,"a steak dinner on a restaurant table, natural light",landscape_4_3,1114844725
292,a museum hall in amsterdam,landscape_4_3,1371310763
293,"group photo of a sports team on vacation, natural poses",landscape_4_3,1978478874
294,"sushi platter on a restaurant table, close up",portrait_4_3,692012975
295,a scenic desert vista at midday,landscape_4_3,1380903375
296,"a crowd at a conference, event photography",landscape_4_3,684815225
297,"a rainy street scene in new york, morning light",portrait_4_3,371244569
298,"a busy street scene in barcelona, evening lights",landscape_4_3,1467035624
299,"a bright interior photo, bedroom",landscape_4_3,377013629
300,"portrait of a woman in her 30s in a home living room, natural light",portrait_4_3,749027194
